timestamp,severity,service,message,container_id,memory_mb
2026-06-15T08:01:12Z,ERROR,api-gateway,Connection refused to upstream service auth-svc:8080,ctr-a1b2c3d4,256.3
2026-06-15T08:01:14Z,WARNING,auth-svc,JWT token validation taking >500ms,ctr-e5f6g7h8,312.7
2026-06-15T08:02:33Z,CRITICAL,payment-processor,OutOfMemoryError: Java heap space exceeded 512MB limit,ctr-i9j0k1l2,518.4
2026-06-15T08:03:01Z,ERROR,payment-processor,Transaction rollback failed for order #ORD-99281,ctr-i9j0k1l2,521.0
2026-06-15T08:03:45Z,WARNING,inventory-svc,Cache miss rate exceeded 40% threshold,ctr-m3n4o5p6,198.2
2026-06-15T08:04:12Z,ERROR,api-gateway,502 Bad Gateway from payment-processor,ctr-a1b2c3d4,261.1
2026-06-15T08:05:00Z,CRITICAL,payment-processor,OutOfMemoryError: Java heap space exceeded 512MB limit,ctr-i9j0k1l2,530.9
2026-06-15T08:05:22Z,ERROR,notification-svc,SMTP connection timed out after 30s,ctr-q7r8s9t0,145.6
2026-06-15T08:06:01Z,WARNING,auth-svc,Rate limit approaching for client IP 10.0.3.42,ctr-e5f6g7h8,318.5
2026-06-15T08:06:33Z,ERROR,inventory-svc,PostgreSQL connection pool exhausted (max=25),ctr-m3n4o5p6,203.4
2026-06-15T08:07:15Z,CRITICAL,payment-processor,OutOfMemoryError: Java heap space exceeded 512MB limit,ctr-i9j0k1l2,542.8
2026-06-15T08:07:45Z,ERROR,api-gateway,Circuit breaker OPEN for payment-processor,ctr-a1b2c3d4,264.0
2026-06-15T08:08:12Z,WARNING,reporting-svc,BigQuery query exceeded 60s timeout,ctr-u1v2w3x4,287.1
2026-06-15T08:08:55Z,ERROR,payment-processor,Deadlock detected in transaction manager,ctr-i9j0k1l2,548.2
2026-06-15T08:09:30Z,ERROR,auth-svc,LDAP bind failed: connection reset by peer,ctr-e5f6g7h8,322.0
2026-06-15T08:10:00Z,WARNING,inventory-svc,Stale read detected on replica node db-replica-2,ctr-m3n4o5p6,207.8
2026-06-15T08:10:45Z,CRITICAL,payment-processor,OutOfMemoryError: Java heap space exceeded 512MB limit,ctr-i9j0k1l2,556.1
2026-06-15T08:11:22Z,ERROR,notification-svc,SendGrid API returned 429 Too Many Requests,ctr-q7r8s9t0,148.3
2026-06-15T08:12:01Z,ERROR,api-gateway,TLS handshake failed with backend auth-svc,ctr-a1b2c3d4,267.5
2026-06-15T08:12:33Z,WARNING,reporting-svc,Memory usage trending upward: 287MB → 342MB in 10m,ctr-u1v2w3x4,342.6
